,,,0.89
AndhraPradesh,EASTGODAVARI,24.44,0.86
AndhraPradesh,WESTGODAVARI,24.36,0.89
AndhraPradesh,GUNTUR,24.56,0.83
AndhraPradesh,KRISHNA,24.27,0.83
AndhraPradesh,NELLORE,23.89,0.85
AndhraPradesh,PRAKASAM,24.18,0.95
AndhraPradesh,SRIKAKULAM,25.66,0.89
AndhraPradesh,VISAKHAPATNAM,25.19,0.82
AndhraPradesh,VIZIANAGARAM,23.97,0.72
AndhraPradesh,ADILABAD,25.27,0.67
AndhraPradesh,HYDERABAD,24.89,0.54
AndhraPradesh,KARIMNAGAR,24.18,0.55
AndhraPradesh,KHAMMAM,23.61,0.51
AndhraPradesh,MAHABUBNAGAR,24.56,0.47
AndhraPradesh,MEDAK,23.83,0.46
AndhraPradesh,NALGONDA,24.58,0.6
AndhraPradesh,NIZAMABAD,26.94,0.63
AndhraPradesh,WARANGAL,26.45,0.65
